algorithm,problem,suite,strict_igd,mean_igd,mean_hv,mean_feasible,bad_runs,runs
AGE-MOEA-II,CF1,CF,0.0215109020447788,0.0215109020447788,0.5393643865236248,1.0000000000000000,0,5
AGE-MOEA-II,CF2,CF,0.0583344680282256,0.0583344680282256,0.5981635666716787,1.0000000000000000,0,5
AGE-MOEA-II,CF3,CF,0.2152505015517979,0.2152505015517979,0.1692769523637988,1.0000000000000000,0,5
AGE-MOEA-II,CF4,CF,0.1124023810751450,0.1124023810751450,0.3955959179965460,1.0000000000000000,0,5
AGE-MOEA-II,CF5,CF,0.2284064264155331,0.2284064264155331,0.3236663446914386,1.0000000000000000,0,5
AGE-MOEA-II,CF6,CF,0.0957407047380885,0.0957407047380885,0.6342564055610094,1.0000000000000000,0,5
AGE-MOEA-II,CF7,CF,0.4282240675840222,0.4282240675840222,0.3768161599187655,1.0000000000000000,0,5
AGE-MOEA-II,CF8,CF,Inf,0.2337824967493588,0.3113164318228259,0.6000000000000000,2,5
AGE-MOEA-II,CF9,CF,0.1810669487797760,0.1810669487797760,0.3842286892742520,1.0000000000000000,0,5
AGE-MOEA-II,CF10,CF,Inf,Inf,Inf,0.0000000000000000,5,5
AGE-MOEA-II,LIRCMOP1,LIR-CMOP,0.2885694696955819,0.2885694696955819,0.1145277030403200,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP2,LIR-CMOP,0.2637479651554118,0.2637479651554118,0.2325904901276299,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP3,LIR-CMOP,0.3182178620915041,0.3182178620915041,0.0960620809628778,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP4,LIR-CMOP,0.2962021516072600,0.2962021516072600,0.1836711059170010,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP5,LIR-CMOP,1.2206646343986394,1.2206646343986394,0.0000000000000000,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP6,LIR-CMOP,1.3447692037133820,1.3447692037133820,0.0000000000000000,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP7,LIR-CMOP,0.1517689135099058,0.1517689135099058,0.2387691662293622,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP8,LIR-CMOP,0.8155161127179966,0.8155161127179966,0.1331366968192139,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP9,LIR-CMOP,0.9722650848175485,0.9722650848175485,0.1146388577348374,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP10,LIR-CMOP,0.8777753598702596,0.8777753598702596,0.0993842561557770,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP11,LIR-CMOP,0.7747118533245478,0.7747118533245478,0.2030368360495265,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP12,LIR-CMOP,0.8421951708741494,0.8421951708741494,0.2674280645923416,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP13,LIR-CMOP,1.3052109717382054,1.3052109717382054,0.0004304034274346,1.0000000000000000,0,5
AGE-MOEA-II,LIRCMOP14,LIR-CMOP,1.2616329870126035,1.2616329870126035,0.0010398960249629,1.0000000000000000,0,5
AGE-MOEA-II,DASCMOP1,DAS-CMOP,0.7374775547085075,0.7374775547085075,0.0059990853341894,1.0000000000000000,0,5
AGE-MOEA-II,DASCMOP2,DAS-CMOP,0.2633307689177145,0.2633307689177145,0.2452302363738071,1.0000000000000000,0,5
AGE-MOEA-II,DASCMOP3,DAS-CMOP,0.3646023178975807,0.3646023178975807,0.2082558827194852,1.0000000000000000,0,5
AGE-MOEA-II,DASCMOP4,DAS-CMOP,0.0979956228971936,0.0979956228971936,0.1651065253286397,1.0000000000000000,0,5
AGE-MOEA-II,DASCMOP5,DAS-CMOP,Inf,0.2896651644802433,0.1867242846647553,0.6000000000000000,2,5
AGE-MOEA-II,DASCMOP6,DAS-CMOP,Inf,0.5157972899669834,0.0593198740293834,0.8000000000000000,1,5
AGE-MOEA-II,DASCMOP7,DAS-CMOP,0.0315287209644499,0.0315287209644499,0.2890502674312169,1.0000000000000000,0,5
AGE-MOEA-II,DASCMOP8,DAS-CMOP,0.0465082344548824,0.0465082344548824,0.2056545809115252,1.0000000000000000,0,5
AGE-MOEA-II,DASCMOP9,DAS-CMOP,0.3907775609305627,0.3907775609305627,0.1244997598253739,1.0000000000000000,0,5
AGE-MOEA-II,MW1,MW,0.0040604987227658,0.0040604987227658,0.4853645387876126,1.0000000000000000,0,5
AGE-MOEA-II,MW2,MW,0.0371842415623148,0.0371842415623148,0.5303824185074412,1.0000000000000000,0,5
AGE-MOEA-II,MW3,MW,0.0270226151567456,0.0270226151567456,0.5311054278052744,1.0000000000000000,0,5
AGE-MOEA-II,MW4,MW,0.0409302506486969,0.0409302506486969,0.8424517918114439,1.0000000000000000,0,5
AGE-MOEA-II,MW5,MW,0.5971579070428431,0.5971579070428431,0.1357196660037041,1.0000000000000000,0,5
AGE-MOEA-II,MW6,MW,0.0254359332913972,0.0254359332913972,0.2952200032033997,1.0000000000000000,0,5
AGE-MOEA-II,MW7,MW,0.0139769704515959,0.0139769704515959,0.4097915662121057,1.0000000000000000,0,5
AGE-MOEA-II,MW8,MW,0.0640718667510325,0.0640718667510325,0.4957677139939528,1.0000000000000000,0,5
AGE-MOEA-II,MW9,MW,0.0065876953926577,0.0065876953926577,0.3920884432057081,1.0000000000000000,0,5
AGE-MOEA-II,MW10,MW,0.1761760988216328,0.1761760988216328,0.3307048394216353,1.0000000000000000,0,5
AGE-MOEA-II,MW11,MW,0.2819115431911207,0.2819115431911207,0.3774650698978165,1.0000000000000000,0,5
AGE-MOEA-II,MW12,MW,0.0067022009459841,0.0067022009459841,0.6035923441298706,1.0000000000000000,0,5
AGE-MOEA-II,MW13,MW,0.3843707651060472,0.3843707651060472,0.3794462556030543,1.0000000000000000,0,5
AGE-MOEA-II,MW14,MW,0.0955383899710387,0.0955383899710387,0.4787767304747991,1.0000000000000000,0,5
AGE-MOEA-II,DOC1,DOC,4.1246587336719216,4.1246587336719216,0.0000000000000000,1.0000000000000000,0,5
AGE-MOEA-II,DOC2,DOC,Inf,Inf,Inf,0.0000000000000000,5,5
AGE-MOEA-II,DOC3,DOC,Inf,778.5859897410896338,0.0000000000000000,0.4000000000000000,3,5
AGE-MOEA-II,DOC4,DOC,1.3214796347430082,1.3214796347430082,0.0162439685112533,1.0000000000000000,0,5
AGE-MOEA-II,DOC5,DOC,Inf,Inf,Inf,0.0000000000000000,5,5
AGE-MOEA-II,DOC6,DOC,5.3868075349173257,5.3868075349173257,0.0853943460273534,1.0000000000000000,0,5
AGE-MOEA-II,DOC7,DOC,5.7735773961336125,5.7735773961336125,0.0000000000000000,1.0000000000000000,0,5
AGE-MOEA-II,DOC8,DOC,63.9929750241825559,63.9929750241825559,0.0000000000000000,1.0000000000000000,0,5
AGE-MOEA-II,DOC9,DOC,0.1918117827425352,0.1918117827425352,Inf,1.0000000000000000,0,5
APSEA,CF1,CF,0.0153959506056471,0.0153959506056471,0.5469724045902723,1.0000000000000000,0,5
APSEA,CF2,CF,0.0477565843872175,0.0477565843872175,0.6133059294390112,1.0000000000000000,0,5
APSEA,CF3,CF,0.2458296265502899,0.2458296265502899,0.1699802218860575,1.0000000000000000,0,5
APSEA,CF4,CF,0.0999811665807032,0.0999811665807032,0.4275577242103469,1.0000000000000000,0,5
APSEA,CF5,CF,0.3009910093947945,0.3009910093947945,0.2812250390669643,1.0000000000000000,0,5
APSEA,CF6,CF,0.0508906832406104,0.0508906832406104,0.6525322938828294,1.0000000000000000,0,5
APSEA,CF7,CF,0.2875708387059757,0.2875708387059757,0.4326499494751188,1.0000000000000000,0,5
APSEA,CF8,CF,0.2480679639845448,0.2480679639845448,0.2727911421262824,1.0000000000000000,0,5
APSEA,CF9,CF,0.0930080578634791,0.0930080578634791,0.4331995446691096,1.0000000000000000,0,5
APSEA,CF10,CF,0.3864398661031437,0.3864398661031437,0.1221879961935752,1.0000000000000000,0,5
APSEA,LIRCMOP1,LIR-CMOP,0.2974090275091019,0.2974090275091019,0.1121111905749287,1.0000000000000000,0,5
APSEA,LIRCMOP2,LIR-CMOP,0.2654319878246151,0.2654319878246151,0.2241225980592051,1.0000000000000000,0,5
APSEA,LIRCMOP3,LIR-CMOP,0.2724216076206657,0.2724216076206657,0.1130952834166151,1.0000000000000000,0,5
APSEA,LIRCMOP4,LIR-CMOP,0.3002389945608360,0.3002389945608360,0.1946883585275388,1.0000000000000000,0,5
APSEA,LIRCMOP5,LIR-CMOP,0.8599162621317266,0.8599162621317266,0.0573494650019781,1.0000000000000000,0,5
APSEA,LIRCMOP6,LIR-CMOP,1.1827787052130394,1.1827787052130394,0.0171413665174370,1.0000000000000000,0,5
APSEA,LIRCMOP7,LIR-CMOP,0.1183646796082171,0.1183646796082171,0.2490689474421076,1.0000000000000000,0,5
APSEA,LIRCMOP8,LIR-CMOP,0.1580492763573475,0.1580492763573475,0.2419855860863264,1.0000000000000000,0,5
APSEA,LIRCMOP9,LIR-CMOP,0.8614046379786418,0.8614046379786418,0.2023416576682862,1.0000000000000000,0,5
APSEA,LIRCMOP10,LIR-CMOP,0.7891363495462523,0.7891363495462523,0.1712895359686550,1.0000000000000000,0,5
APSEA,LIRCMOP11,LIR-CMOP,0.5461670550841109,0.5461670550841109,0.3527052695243831,1.0000000000000000,0,5
APSEA,LIRCMOP12,LIR-CMOP,0.3863079400108144,0.3863079400108144,0.4560098641096843,1.0000000000000000,0,5
APSEA,LIRCMOP13,LIR-CMOP,1.3149544447500454,1.3149544447500454,0.0001235655096221,1.0000000000000000,0,5
APSEA,LIRCMOP14,LIR-CMOP,1.2719785600744755,1.2719785600744755,0.0005825763205421,1.0000000000000000,0,5
APSEA,DASCMOP1,DAS-CMOP,0.7271186659401284,0.7271186659401284,0.0074813266320304,1.0000000000000000,0,5
APSEA,DASCMOP2,DAS-CMOP,0.2532484957734943,0.2532484957734943,0.2519102609363337,1.0000000000000000,0,5
APSEA,DASCMOP3,DAS-CMOP,0.3287058503825144,0.3287058503825144,0.2174178439548063,1.0000000000000000,0,5
APSEA,DASCMOP4,DAS-CMOP,0.0011735294209335,0.0011735294209335,0.2042376037404391,1.0000000000000000,0,5
APSEA,DASCMOP5,DAS-CMOP,0.0836865143215915,0.0836865143215915,0.3021587115117795,1.0000000000000000,0,5
APSEA,DASCMOP6,DAS-CMOP,0.3033276892553984,0.3033276892553984,0.1689980876435453,1.0000000000000000,0,5
APSEA,DASCMOP7,DAS-CMOP,0.0306414763767588,0.0306414763767588,0.2888991742358847,1.0000000000000000,0,5
APSEA,DASCMOP8,DAS-CMOP,0.0393880153266137,0.0393880153266137,0.2074075247509422,1.0000000000000000,0,5
APSEA,DASCMOP9,DAS-CMOP,0.3481233542869724,0.3481233542869724,0.1317170175200806,1.0000000000000000,0,5
APSEA,MW1,MW,0.0016093830192564,0.0016093830192564,0.4901073379205719,1.0000000000000000,0,5
APSEA,MW2,MW,0.0162053033717342,0.0162053033717342,0.5601457261900024,1.0000000000000000,0,5
APSEA,MW3,MW,0.0049807418792064,0.0049807418792064,0.5445194586033095,1.0000000000000000,0,5
APSEA,MW4,MW,0.0405322351836308,0.0405322351836308,0.8419133375533608,1.0000000000000000,0,5
APSEA,MW5,MW,0.0067589341801237,0.0067589341801237,0.3217809401153932,1.0000000000000000,0,5
APSEA,MW6,MW,0.0174532434713047,0.0174532434713047,0.3066394288834148,1.0000000000000000,0,5
APSEA,MW7,MW,0.0045512347143041,0.0045512347143041,0.4119764872845374,1.0000000000000000,0,5
APSEA,MW8,MW,0.0438226627112105,0.0438226627112105,0.5444978860131837,1.0000000000000000,0,5
APSEA,MW9,MW,0.0091755191654855,0.0091755191654855,0.3894604654641650,1.0000000000000000,0,5
APSEA,MW10,MW,0.0346730451964664,0.0346730451964664,0.4196217214080911,1.0000000000000000,0,5
APSEA,MW11,MW,0.0059489329281307,0.0059489329281307,0.4477210424476727,1.0000000000000000,0,5
APSEA,MW12,MW,0.0046747881616275,0.0046747881616275,0.6053622816439503,1.0000000000000000,0,5
APSEA,MW13,MW,0.0785280226757053,0.0785280226757053,0.4391127523171356,1.0000000000000000,0,5
APSEA,MW14,MW,0.0969708140443269,0.0969708140443269,0.4733540058909919,1.0000000000000000,0,5
APSEA,DOC1,DOC,3.1667982026252752,3.1667982026252752,0.0000000000000000,1.0000000000000000,0,5
APSEA,DOC2,DOC,Inf,Inf,Inf,0.0000000000000000,5,5
APSEA,DOC3,DOC,Inf,440.7869883814627769,0.0000000000000000,0.4000000000000000,3,5
APSEA,DOC4,DOC,0.9795923893875369,0.9795923893875369,0.0082170812524063,1.0000000000000000,0,5
APSEA,DOC5,DOC,Inf,Inf,Inf,0.0000000000000000,5,5
APSEA,DOC6,DOC,3.5674899850423238,3.5674899850423238,0.0000000000000000,1.0000000000000000,0,5
APSEA,DOC7,DOC,Inf,6.1207038622491972,0.0000000000000000,0.4000000000000000,3,5
APSEA,DOC8,DOC,84.3270483611264439,84.3270483611264439,0.0000000000000000,1.0000000000000000,0,5
APSEA,DOC9,DOC,0.1319623306106399,0.1319623306106399,Inf,1.0000000000000000,0,5
BiCo,CF1,CF,0.0166219866687957,0.0166219866687957,0.5449881376545969,1.0000000000000000,0,5
BiCo,CF2,CF,0.0483393822710607,0.0483393822710607,0.6088275934080374,1.0000000000000000,0,5
BiCo,CF3,CF,0.2127443706798535,0.2127443706798535,0.2019411071800118,1.0000000000000000,0,5
BiCo,CF4,CF,0.0948274613992774,0.0948274613992774,0.4213145052685172,1.0000000000000000,0,5
BiCo,CF5,CF,0.2876183734241290,0.2876183734241290,0.2907108841517744,1.0000000000000000,0,5
BiCo,CF6,CF,0.0753851297218205,0.0753851297218205,0.6345299002509875,1.0000000000000000,0,5
BiCo,CF7,CF,0.2920839629610087,0.2920839629610087,0.4393243087395132,1.0000000000000000,0,5
BiCo,CF8,CF,0.1596351294050469,0.1596351294050469,0.3401073061702001,1.0000000000000000,0,5
BiCo,CF9,CF,0.0931947275731874,0.0931947275731874,0.4301409724567770,1.0000000000000000,0,5
BiCo,CF10,CF,Inf,0.7172080139296100,0.0881617952400721,0.2000000000000000,4,5
BiCo,LIRCMOP1,LIR-CMOP,0.2159558876671300,0.2159558876671300,0.1362010726226387,1.0000000000000000,0,5
BiCo,LIRCMOP2,LIR-CMOP,0.1887710061933923,0.1887710061933923,0.2569772495282144,1.0000000000000000,0,5
BiCo,LIRCMOP3,LIR-CMOP,0.2161967026954114,0.2161967026954114,0.1277420493772581,1.0000000000000000,0,5
BiCo,LIRCMOP4,LIR-CMOP,0.2181400873071140,0.2181400873071140,0.2202025170422114,1.0000000000000000,0,5
BiCo,LIRCMOP5,LIR-CMOP,1.2239320280524495,1.2239320280524495,0.0000000000000000,1.0000000000000000,0,5
