config,algorithm,problem,suite,N,maxFE,run,seed,phase,generations,FE_start,FE_end,rate_ga,rate_de_rand,rate_de_best,pop1_rate_ga,pop1_rate_de_rand,pop1_rate_de_best,pop2_rate_ga,pop2_rate_de_rand,pop2_rate_de_best,generated_ga,generated_de_rand,generated_de_best,survived_ga,survived_de_rand,survived_de_best,survival_ga,survival_de_rand,survival_de_best,feasible_ga,feasible_de_rand,feasible_de_best,cvscore_ga,cvscore_de_rand,cvscore_de_best,objscore_ga,objscore_de_rand,objscore_de_best,pop1_survival_ga,pop1_survival_de_rand,pop1_survival_de_best,pop2_survival_ga,pop2_survival_de_rand,pop2_survival_de_best,pop1_feasible_ga,pop1_feasible_de_rand,pop1_feasible_de_best,pop2_feasible_ga,pop2_feasible_de_rand,pop2_feasible_de_best
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,1,227001,"early",59,406,12296,0.4956463873386383,0.0101105896756053,0.4942430257797241,0.4956463873386383,0.0101105896756053,0.4942430257797241,0.4956463873386383,0.0101105896756053,0.4942430257797241,5790,546,5760,1553,29,978,0.2682210803031921,0.05311355367302895,0.1697916686534882,0.2998272776603699,0.1282051354646683,0.2753472328186035,0.5533875823020935,0.3704583048820496,0.5076762437820435,0.6426713466644287,0.549797534942627,0.604672372341156,0.2417961955070496,0.05494505539536476,0.1572916656732559,0.2946459352970123,0.05128205195069313,0.1822916716337204,0.4207253754138947,0.2051282078027725,0.3927083313465118,0.1789291948080063,0.05128205195069313,0.1579861044883728
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,1,227001,"middle",110,12500,34856,0.4987731873989105,0.002913780277594924,0.4983130395412445,0.4987731873989105,0.002913780277594924,0.4983130395412445,0.4987731873989105,0.002913780277594924,0.4983130395412445,10856,880,10824,1601,70,1976,0.1474760472774506,0.07954545319080353,0.1825572848320007,0.6869933605194092,0.6284090876579285,0.8253880143165588,0.7277041673660278,0.6560778617858887,0.847218930721283,0.5396983623504639,0.5235859751701355,0.5737918019294739,0.1473839282989502,0.06818182021379471,0.1844050288200378,0.1475681662559509,0.09090909361839294,0.1807095408439636,0.7315769791603088,0.6454545259475708,0.8680709600448608,0.6424097418785095,0.6113636493682861,0.7827051281929016
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,1,227001,"late",74,35060,50028,0.4993344843387604,0.002243830123916268,0.49842169880867,0.4993344843387604,0.002243830123916268,0.49842169880867,0.4993344843387604,0.002243830123916268,0.49842169880867,7296,592,7284,1005,51,1273,0.1377467066049576,0.08614864945411682,0.1747666150331497,0.7160087823867798,0.6672297120094299,0.8764415383338928,0.7367398142814636,0.6789419651031494,0.8814677000045776,0.519498348236084,0.5088778138160706,0.5529065728187561,0.1430921107530594,0.09797297418117523,0.1718835830688477,0.132401317358017,0.07432432472705841,0.1776496469974518,0.7483552694320679,0.6925675868988037,0.9055464267730713,0.6836622953414917,0.6418918967247009,0.8473366498947144
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,2,227002,"early",57,414,12336,0.002218192210420966,0.99124675989151,0.006535023916512728,0.002218192210420966,0.99124675989151,0.006535023916512728,0.002218192210420966,0.99124675989151,0.006535023916512728,456,11224,456,108,1234,123,0.2368421107530594,0.1099429801106453,0.2697368562221527,0.01315789483487606,0.00294012832455337,0.01973684132099152,0.4269171953201294,0.4233552515506744,0.4488104283809662,0.5856226682662964,0.5715994238853455,0.5957770347595215,0.1973684281110764,0.1243763342499733,0.2543859779834747,0.2763157784938812,0.09550961852073669,0.2850877046585083,0.01754385977983475,0.00356379197910428,0.01754385977983475,0.008771929889917374,0.00231646467000246,0.02192982472479343
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,2,227002,"middle",106,12550,34912,0.005531739443540573,0.9912573099136353,0.003210935276001692,0.005531739443540573,0.9912573099136353,0.003210935276001692,0.005531739443540573,0.9912573099136353,0.003210935276001692,848,20880,848,196,807,201,0.2311320751905441,0.03864942491054535,0.2370283007621765,0.5589622855186462,0.3737069070339203,0.6709905862808228,0.6512068510055542,0.4851284921169281,0.7409393191337585,0.6972492337226868,0.6377031803131104,0.7320213913917542,0.3160377442836761,0.05383141711354256,0.3113207519054413,0.1462264209985733,0.02346743270754814,0.1627358496189117,0.8089622855186462,0.5411877632141113,0.8655660152435303,0.3089622557163239,0.2062260508537292,0.4764150977134705
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,2,227002,"late",73,35126,50134,0.2530269026756287,0.740418553352356,0.00655456306412816,0.2530269026756287,0.740418553352356,0.00655456306412816,0.2530269026756287,0.740418553352356,0.00655456306412816,3902,10736,584,555,172,99,0.1422347575426102,0.01602086424827576,0.1695205420255661,0.6222450137138367,0.5950074791908264,0.806506872177124,0.7192200422286987,0.6774385571479797,0.8607082366943359,0.6675737500190735,0.6327023506164551,0.7193069458007812,0.1537673026323318,0.01713859848678112,0.2020547986030579,0.1307021975517273,0.01490313000977039,0.1369863003492355,0.8216299414634705,0.7939642071723938,0.9726027250289917,0.4228600859642029,0.3960506618022919,0.6404109597206116
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,3,227003,"early",58,406,12332,0.2537380158901215,0.7435221672058105,0.002739813644438982,0.2537380158901215,0.7435221672058105,0.002739813644438982,0.2537380158901215,0.7435221672058105,0.002739813644438982,3102,8566,464,800,634,158,0.2578981220722198,0.07401353865861893,0.3405172526836395,0.07607994973659515,0.1989259868860245,0.3426724076271057,0.4152965247631073,0.404439240694046,0.5825427770614624,0.6568620800971985,0.6381663084030151,0.6964142918586731,0.2198581546545029,0.09712818264961243,0.3577586114406586,0.295938104391098,0.05089890211820602,0.3232758641242981,0.1121856868267059,0.314499169588089,0.4956896603107452,0.03997420892119408,0.08335278928279877,0.1896551698446274
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,3,227003,"middle",106,12544,34852,0.7000356912612915,0.262426882982254,0.03753741830587387,0.7000356912612915,0.262426882982254,0.03753741830587387,0.7000356912612915,0.262426882982254,0.03753741830587387,14924,6076,1520,2067,157,313,0.1385017484426498,0.02583936788141727,0.2059210538864136,0.6799785494804382,0.5204081535339355,0.8315789699554443,0.7196923494338989,0.5940746665000916,0.8650279641151428,0.5658226609230042,0.6613379716873169,0.6833197474479675,0.1427231281995773,0.03324555605649948,0.2171052694320679,0.1342803537845612,0.01843317970633507,0.1947368383407593,0.7496649622917175,0.6662277579307556,0.942105233669281,0.6102921366691589,0.3745885491371155,0.7210526466369629
"s06_mechanism","CMOEA-AOP-Trace","CF10","CF",100,50000,3,227003,"late",71,35066,50026,0.9966320991516113,0.0008375829784199595,0.002530340338125825,0.9966320991516113,0.0008375829784199595,0.002530340338125825,0.9966320991516113,0.0008375829784199595,0.002530340338125825,14038,568,568,1763,31,126,0.1255876868963242,0.05457746610045433,0.2218309789896011,0.7020943164825439,0.6161971688270569,0.88908451795578,0.7214148044586182,0.628865122795105,0.8931425213813782,0.5357397794723511,0.519582211971283,0.5653088092803955,0.1232369318604469,0.0422535203397274,0.2218309789896011,0.127938449382782,0.06690140813589096,0.2218309789896011,0.7452628612518311,0.6267605423927307,0.9330986142158508,0.6589257717132568,0.6056337952613831,0.8450704216957092
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,1,226101,"early",58,404,12336,0.2244594097137451,0.002464232500642538,0.7730763554573059,0.2244594097137451,0.002464232500642538,0.7730763554573059,0.2244594097137451,0.002464232500642538,0.7730763554573059,2784,464,8888,479,106,1653,0.1720546036958694,0.2284482717514038,0.1859810948371887,0.3351293206214905,0.213362067937851,0.3033303320407867,0.8095887899398804,0.7858173847198486,0.7911188006401062,0.6054279804229736,0.6459488272666931,0.6249359846115112,0.1364942491054535,0.2198275923728943,0.2470747083425522,0.2076149433851242,0.2370689660310745,0.1248874887824059,0.3886494338512421,0.3232758641242981,0.4169667065143585,0.2816092073917389,0.1034482792019844,0.1896939724683762
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,1,226101,"middle",110,12550,34902,0.004945356864482164,0.4150807559490204,0.5799738764762878,0.004945356864482164,0.4150807559490204,0.5799738764762878,0.004945356864482164,0.4150807559490204,0.5799738764762878,888,9028,12650,49,1280,1367,0.05518018081784248,0.1417811214923859,0.108063243329525,0.25,0.1114311069250107,0.2417391240596771,0.772113561630249,0.7297142148017883,0.7665313482284546,0.5944284796714783,0.6382901072502136,0.6138741970062256,0.06081081181764603,0.1734603494405746,0.1615810245275497,0.04954954981803894,0.1101019084453583,0.05454545468091965,0.3400900959968567,0.2020381093025208,0.3226877450942993,0.1599099040031433,0.02082410268485546,0.1607905179262161
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,1,226101,"late",74,35106,50108,0.01353910844773054,0.5964241623878479,0.3900367319583893,0.01353910844773054,0.5964241623878479,0.3900367319583893,0.01353910844773054,0.5964241623878479,0.3900367319583893,692,8734,5780,27,1141,390,0.03901734203100204,0.1306388825178146,0.06747404485940933,0.2283236980438232,0.09949622303247452,0.2192041575908661,0.7767043113708496,0.738398015499115,0.7643731236457825,0.5800390839576721,0.61393803358078,0.6040807366371155,0.02601156011223793,0.148385614156723,0.08269896358251572,0.05202312022447586,0.1128921434283257,0.05224913358688354,0.3063583672046661,0.1767804026603699,0.2899653911590576,0.1502890139818192,0.02221204526722431,0.1484429091215134
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,2,226102,"early",58,414,12456,0.02136733382940292,0.9716602563858032,0.006972427014261484,0.02136733382940292,0.9716602563858032,0.006972427014261484,0.02136733382940292,0.9716602563858032,0.006972427014261484,584,11208,464,76,2264,89,0.1301369816064835,0.2019985765218735,0.1918103396892548,0.3270547986030579,0.1860278397798538,0.2887931168079376,0.8100990056991577,0.7610231041908264,0.7922896146774292,0.5383995175361633,0.5666016340255737,0.5407454967498779,0.1575342416763306,0.201284795999527,0.2112068980932236,0.1027397289872169,0.2027123421430588,0.1724137961864471,0.4280821979045868,0.2974660992622375,0.3836206793785095,0.2260273993015289,0.07458958029747009,0.1939655244350433
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,2,226102,"middle",105,12670,34804,0.006993778049945831,0.9905539751052856,0.002452231245115399,0.006993778049945831,0.9905539751052856,0.002452231245115399,0.006993778049945831,0.9905539751052856,0.002452231245115399,840,20668,840,40,2915,118,0.0476190485060215,0.1410392820835114,0.1404761970043182,0.244047611951828,0.1116702184081078,0.2452380955219269,0.778648853302002,0.7393528819084167,0.7697795629501343,0.5057129263877869,0.5499140024185181,0.5189295411109924,0.06190476194024086,0.1760209053754807,0.1833333373069763,0.03333333507180214,0.1060576736927032,0.09761904925107956,0.3404761850833893,0.2041803747415543,0.3666666746139526,0.1476190537214279,0.01916005462408066,0.1238095238804817
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,2,226102,"late",72,35018,50184,0.003505170112475753,0.9945743680000305,0.001920476439408958,0.003505170112475753,0.9945743680000305,0.001920476439408958,0.003505170112475753,0.9945743680000305,0.001920476439408958,576,14228,576,31,1423,81,0.0538194440305233,0.1000140532851219,0.140625,0.2065972238779068,0.07232218235731125,0.2204861044883728,0.7659770846366882,0.7257258296012878,0.7591267824172974,0.5080994963645935,0.5490897297859192,0.5176695585250854,0.0416666679084301,0.09094742685556412,0.1458333283662796,0.0659722238779068,0.1090806871652603,0.1354166716337204,0.2847222089767456,0.1220129355788231,0.3402777910232544,0.1284722238779068,0.02263143099844456,0.1006944477558136
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,3,226103,"early",60,406,12306,0.4409464299678802,0.1136430203914642,0.4454105496406555,0.4409464299678802,0.1136430203914642,0.4454105496406555,0.4409464299678802,0.1136430203914642,0.4454105496406555,5216,1620,5270,847,435,996,0.1623849719762802,0.2685185074806213,0.1889943033456802,0.3241947889328003,0.2222222238779068,0.3216318786144257,0.8047516345977783,0.779297947883606,0.8011181950569153,0.6114108562469482,0.6419810056686401,0.6182945966720581,0.1526073664426804,0.3234567940235138,0.2072106301784515,0.1721625775098801,0.2135802507400513,0.1707779914140701,0.4482361972332001,0.3765432238578796,0.4440227746963501,0.2001533806324005,0.06790123134851456,0.1992409825325012
"s06_mechanism","CMOEA-AOP-Trace","CF1","CF",100,50000,3,226103,"middle",111,12504,34906,0.03554427996277809,0.4093636572360992,0.5550920367240906,0.03554427996277809,0.4093636572360992,0.5550920367240906,0.03554427996277809,0.4093636572360992,0.5550920367240906,1432,8966,12202,79,1404,1128,0.05516759678721428,0.1565915644168854,0.09244386106729507,0.2437150776386261,0.12982377409935,0.2393869906663895,0.7764341831207275,0.7454454302787781,0.7720397710800171,0.5907444357872009,0.635009765625,0.6090902090072632,0.06145251542329788,0.2061119824647903,0.1368628144264221,0.04888268187642097,0.1070711612701416,0.04802491515874863,0.325419008731842,0.2386794537305832,0.3202753663063049,0.1620111763477325,0.02096810191869736,0.1584986001253128
