algorithm,problem,suite,strict_igd,mean_igd,mean_hv,mean_feasible,bad_runs,runs
CMOEA-AOP,CF1,CF,0.0073300836376793,0.0073300836376793,0.5572592841592067,1.0000000000000000,0,5
CMOEA-AOP,CF2,CF,0.0257878348169775,0.0257878348169775,0.6491640370657807,1.0000000000000000,0,5
CMOEA-AOP,CF3,CF,0.2295659131568865,0.2295659131568865,0.1787312281405291,1.0000000000000000,0,5
CMOEA-AOP,CF4,CF,0.0453240137004051,0.0453240137004051,0.4736003885801401,1.0000000000000000,0,5
CMOEA-AOP,CF5,CF,0.1438828953544274,0.1438828953544274,0.3687074188093254,1.0000000000000000,0,5
CMOEA-AOP,CF6,CF,0.0417791778475890,0.0417791778475890,0.6566517514111542,1.0000000000000000,0,5
CMOEA-AOP,CF7,CF,0.1753850358007237,0.1753850358007237,0.5044497746495317,1.0000000000000000,0,5
CMOEA-AOP,CF8,CF,0.1980304025122553,0.1980304025122553,0.3002296208931917,1.0000000000000000,0,5
CMOEA-AOP,CF9,CF,0.0975081282127828,0.0975081282127828,0.4206731280628748,1.0000000000000000,0,5
CMOEA-AOP,CF10,CF,0.3711404055998933,0.3711404055998933,0.1500936135047972,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP1,LIR-CMOP,0.2121674739964347,0.2121674739964347,0.1409367191682036,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP2,LIR-CMOP,0.1952040055832747,0.1952040055832747,0.2590905040718887,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP3,LIR-CMOP,0.1952172829473354,0.1952172829473354,0.1369743597126838,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP4,LIR-CMOP,0.2495791048308813,0.2495791048308813,0.2095393834774158,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP5,LIR-CMOP,0.5962228947048455,0.5962228947048455,0.1081147991629926,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP6,LIR-CMOP,0.2200865441125732,0.2200865441125732,0.1384250768905609,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP7,LIR-CMOP,0.0561640842563410,0.0561640842563410,0.2708250942652019,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP8,LIR-CMOP,0.0768515697818838,0.0768515697818838,0.2631199058499403,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP9,LIR-CMOP,0.5080632217737342,0.5080632217737342,0.3499311960443778,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP10,LIR-CMOP,0.2171078699022798,0.2171078699022798,0.5911119912573909,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP11,LIR-CMOP,0.0938784796110318,0.0938784796110318,0.6391866108039649,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP12,LIR-CMOP,0.1838587936288853,0.1838587936288853,0.5156611534369759,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP13,LIR-CMOP,0.1009095359006772,0.1009095359006772,0.5376762307544010,1.0000000000000000,0,5
CMOEA-AOP,LIRCMOP14,LIR-CMOP,0.0971201212387588,0.0971201212387588,0.5510141256434833,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP1,DAS-CMOP,0.1508690377275576,0.1508690377275576,0.1694640769543974,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP2,DAS-CMOP,0.0891592291806264,0.0891592291806264,0.3174985991145203,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP3,DAS-CMOP,0.0612144517352871,0.0612144517352871,0.2907266582378684,1.0000000000000000,0,5
CMOEA-AOP,DASCMOP4,DAS-CMOP,Inf,0.3022593813741607,0.1128318522679747,0.8000000000000000,1,5
CMOEA-AOP,DASCMOP5,DAS-CMOP,Inf,0.0671330829311539,0.3082508864280052,0.4000000000000000,3,5
CMOEA-AOP,DASCMOP6,DAS-CMOP,Inf,0.5474752746142891,0.0530093774985372,0.6000000000000000,2,5
CMOEA-AOP,DASCMOP7,DAS-CMOP,Inf,0.3456950002183814,0.1472498437590970,0.8000000000000000,1,5
CMOEA-AOP,DASCMOP8,DAS-CMOP,Inf,0.3308209943287458,0.1433410169039474,0.8000000000000000,1,5
CMOEA-AOP,DASCMOP9,DAS-CMOP,0.0512102430963846,0.0512102430963846,0.2020568822200934,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF1,CF,0.0050714757147958,0.0050714757147958,0.5599306312724501,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF2,CF,0.0193830406662790,0.0193830406662790,0.6578592261531384,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF3,CF,0.1318060201958799,0.1318060201958799,0.2557768716414399,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF4,CF,0.0529161006977916,0.0529161006977916,0.4674315348926482,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF5,CF,0.1215367703336062,0.1215367703336062,0.3707810768892756,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF6,CF,0.0516717990890997,0.0516717990890997,0.6566514469117319,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF7,CF,0.2529085596151004,0.2529085596151004,0.4677688958358189,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF8,CF,0.1736053156079875,0.1736053156079875,0.3351954662746707,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF9,CF,0.0989127612054125,0.0989127612054125,0.4205220765412809,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,CF10,CF,0.2703068694888711,0.2703068694888711,0.1961031118428643,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP1,LIR-CMOP,0.2441429408958887,0.2441429408958887,0.1310386357188651,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP2,LIR-CMOP,0.2455374721266204,0.2455374721266204,0.2339852554983116,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP3,LIR-CMOP,0.2567708968188928,0.2567708968188928,0.1172656782702649,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP4,LIR-CMOP,0.2318835414255428,0.2318835414255428,0.2124363504637275,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP5,LIR-CMOP,0.9081763317317042,0.9081763317317042,0.0432063926268557,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP6,LIR-CMOP,0.2114196221487864,0.2114196221487864,0.1457231811371699,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP7,LIR-CMOP,0.0460701299527356,0.0460701299527356,0.2761867846771450,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP8,LIR-CMOP,0.0476814453245030,0.0476814453245030,0.2750914194818734,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP9,LIR-CMOP,0.4695185217103309,0.4695185217103309,0.3717648404698485,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP10,LIR-CMOP,0.2246485710387366,0.2246485710387366,0.5947781348496474,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP11,LIR-CMOP,0.0999756836332869,0.0999756836332869,0.6323456516423783,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP12,LIR-CMOP,0.1605120849742062,0.1605120849742062,0.5341030923560803,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP13,LIR-CMOP,0.0991990935680679,0.0991990935680679,0.5402471754445448,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,LIRCMOP14,LIR-CMOP,0.0965890891041111,0.0965890891041111,0.5522335418759505,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,DASCMOP1,DAS-CMOP,0.0091442162766185,0.0091442162766185,0.2073673952107786,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,DASCMOP2,DAS-CMOP,0.0099769808542960,0.0099769808542960,0.3511414021191357,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,DASCMOP3,DAS-CMOP,0.0216435667873695,0.0216435667873695,0.3087569267714760,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,DASCMOP4,DAS-CMOP,Inf,0.5376735009223628,0.0313691625642665,0.8000000000000000,1,5
Dual-Feasibility-Explore-AOP,DASCMOP5,DAS-CMOP,Inf,0.6253395155364281,0.0577895439057354,0.8000000000000000,1,5
Dual-Feasibility-Explore-AOP,DASCMOP6,DAS-CMOP,0.6266844433092060,0.6266844433092060,0.0364807743186047,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,DASCMOP7,DAS-CMOP,0.7789829690939374,0.7789829690939374,0.0559151868910152,0.8779999999999999,0,5
Dual-Feasibility-Explore-AOP,DASCMOP8,DAS-CMOP,0.5445646513603818,0.5445646513603818,0.0373868561533319,1.0000000000000000,0,5
Dual-Feasibility-Explore-AOP,DASCMOP9,DAS-CMOP,0.0616738408125245,0.0616738408125245,0.2012683011749852,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF1,CF,0.0048824765452519,0.0048824765452519,0.5601833889089500,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF2,CF,0.0229525684177439,0.0229525684177439,0.6512636777831060,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF3,CF,0.1075397609814635,0.1075397609814635,0.2776137100454212,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF4,CF,0.0671290576595428,0.0671290576595428,0.4488227660577345,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF5,CF,0.3218908174933804,0.3218908174933804,0.2611283237195179,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF6,CF,0.0584931804428425,0.0584931804428425,0.6517646429287559,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF7,CF,0.1848675594725370,0.1848675594725370,0.5184735217881096,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF8,CF,0.1745654450213928,0.1745654450213928,0.3270483526999754,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF9,CF,0.0985463538353984,0.0985463538353984,0.4219212570191163,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,CF10,CF,0.3354694627865428,0.3354694627865428,0.1802661548297850,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP1,LIR-CMOP,0.2504810375868552,0.2504810375868552,0.1321189494539399,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP2,LIR-CMOP,0.2059801315250254,0.2059801315250254,0.2510215802650116,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP3,LIR-CMOP,0.2397993068348211,0.2397993068348211,0.1185008592845559,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP4,LIR-CMOP,0.2708053729229246,0.2708053729229246,0.1991064931950691,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP5,LIR-CMOP,0.1216043741460304,0.1216043741460304,0.2263116907351239,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP6,LIR-CMOP,0.2491530039086172,0.2491530039086172,0.1412016886282973,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP7,LIR-CMOP,0.0112546770766527,0.0112546770766527,0.2919513812135403,1.0000000000000000,0,5
Dual-Survival-Credit-AOP,LIRCMOP8,LIR-CMOP,0.0304556634280193,0.0304556634280193,0.2816483008820406,1.0000000000000000,0,5
